absinth	apsinthiatum -ī, n.
jewel	ōrnāmentum -ī, n.
jeweler	gemmarius -ī, m.
jewelry	ōrnātus -us, m.
jewelrybrooch	fībula -ae, f.
jewlerycarat	ceratium -ī, n.
earrings	inaures -ium, f.
jewelryearrings	inaures -ium, f.
jewelrylocket	theca -ae, f.
jewelrynecklace	mūrenula -ae, f.
jewelrypearl	margarīta -ae, f.
jewelrypendant	ōrnāmentum pēnsile -ī, n.
jewelrypin	acus ōrnātiva -ūs, f.
jogging	cursus pedester -ūs, m.
joint	iunctio -ōnis, f.
joist	tignum trānsversārium (v. trānsversum) -ī, n.
judo	lucta Iūdōica -ae, f.
junk	nāvis Sinica -is, f.
kaaba	templum Meccanum -ī, n.
kangaroo	halmatūrus -ī, m.
karate	lucta carātica -ae, f.
kennel	cubīle -īlis, n.
kingfisher	alcēdō -inis, f.
kite	dracō volāns -ōnis, m.
kite-bird	milvus -ī, m.
kitten	catulus felinus -ī, m.
knee	genū -ūs, n.
kneecap	patella -ae, f.
knock-knees	crūra vāra -ōrum, n.
koran	Corānus -ī, m.
laboratory-animal	bēstiola experīmentalis -ae, f.
ladybug	coccinella -ae, f.
lamb	agnus -ī, m.
landing	appulsus -ūs, m.
landing-craft	scaphae longārum nāvium militibus complēndae -ārun, f.
landscape	prōspectus -ūs, m.
landscape-a-painting-of-landscape	topia -ōrum, n.
landscape-painter	pictor topiārius -ōris, m.
landscape-painting	topiōrum pictūra -ae, f.
lap	gremium -ī, n.
lapdog	catellus -ī, m.
large-octavo	(liber) fōrmae octāvae māioris -ī, m.
lark	alauda -ae, f.
larynx	guttur -uris, n.
latin	LATIN_TRANSLATION_HERE GRAMMAR_HERE
lattice	transenna -ae, f.
lawn-tennis	taenilūdium prātense -ī, n.
leaflet	folium plicātile -ī, n.
leash	cōpula -orum, n.
ledge	proectūra -ae, f.
leech	sanguisūga -ae, f.
leopard	(leo)pardus -ī, m.
life-buoy	orbis auxiliārius -is, m.
life-jacket	thōrāx natātōrius -ācis, m.
life-preserver	cortices -um, m.
lifeboat-liferaft	nāvicula ad servāndum -ae, f.
lifeguard	praetōrium nantium -ī, n.
lifeguard-pool-attendant	balneārius -ī, m.
ligament	ligāmen -inis, n.
lightning-conductor	apagōgus fulminis -ī, m.
liqueur	liquor aromaticus -ōris, m.
liquor	fortioris (v. fervidioris) spīritūs liquor -ōris, m.
lithograph	tabula lithographica -ae, f.
lithographer	artifex lithographus -icis, m.
lithography	lithogrica ars -is, f.
little-dipper	Ursa Minor -ae, f.
little-finger	(digitus) auriculāris -ī, m.
liver	iecur -oris, n.
lizard	lacerta -ae, f.
lobby	vestibulum (theātrī) -ī, n.
lobe	lacinia -ae, f.
lobster	locusta (marīna) -ae, f.
lock-sluice	saeptum -ī, n.
locket	theca -ae, f.
loft	tabulātum -ī, n.
look-out-tower	turris speculātōria -is, f.
louse	pediculus -ī, m.
lower-jaw	maxilla īnferior -ae, f.
lunar-eclipse	lūnae dēfectus -ūs, m.
lung	pulmō -ōnis, m.
lymph	lympha -ae, f.
lymph-node	lymphonōdus -ī, m.
lymphatic-vessel	vās lymphāticus -āsis, n.
lynx	lynx -yncis, f.
mackerel	scomber -ī, m.
maggot	vermiculus -ī, m.
malt	horteum -ī, n.
mammal	mammālis -arum, n.
man-of-war	nāvis longa -is, f.
manger	praesaepe -is, n.
manual	libellus -ī, m.
manureheap	sterculīn(i)um -ī, n.
manuscript	scrīptum -ī, n.
marathon	cursus Marathonius -ūs, m.
marginal-note	verba marginī adscrīpta -ōrum, n.
marina	statiō (v. portus) lūsoriārum -ōnis, f.
marine-biologist	biologus maritimus -ī, m.
marine-biology	thalassobiologia -ae, f.
marl	marga -ae, f.
marmot	mūs Alpīnus -ris, m.
marrow	medulla -ae, f.
marten	mēles (martes) -is, f.
mass-media	īnstrūmenta commūnicātiōnis sociālis -ōrum, n.
masterpiece	summum opus -eris, n.
medallion	īnsigne magnum -is, n.
meiosis	meiōsis -is, f.
membrane	membrāna -ae, f.
merchant-marine	nāves onerāriae -um, f.
metabolism	metabolismus -ī, m.
meteor	meteoron -ī, n.
meteorite	stēllārum ignītum fragmentum -ī, n.
microbiological	microbiologicus -ī, m.
microbiologist	microbiologus -ī, m.
microbiology	microbiologia -ae, f.
microfiche	microchartula -ae, f.
microfilm	micropellicula -ae, f.
middle-finger	digitus medius -ī, m.
midget-pygmy	nānus -ī, m.
migration	migrātiō avium -ōnis, f.
migratory-bird	volucris peregrīna -is, f.
milking-machine	lactisūgium automatum -ī, n.
milky-way	orbis (v. circulus) lacteus -is, m.
millipede	millepeda -ae, f.
minaret	minarētum -ī, n.
miniature	parvus -ae, f.
miniature-golf	pilamelleus minūtus -ī, m.
minister-of-agriculture	administer agriculturae prōvehendae -ī, m.
ministerofcommerce	mercuratis moderandis provehendisque administer ī, m.
ministerofculturalaffairs	(ad)minister cultūs et ēducātīonis -ī, m.
ministeroffinance	(ad)minister fiscalis -ī, m.
ministeroftheinterior	(ad)minister pūblicus rerum interiorum -ī, m.
secretary	(ad)minister pūblicus -ī, m.
ministryoftheinterior	ministerium administrātiōnis internae -ī, n.
ministry	suprēmum cōnsilium -ī, n.
miscellany	strōmata -ōrum, n.
misprint	errātum impresssum -ī, n.
mite	acarus -ī, m.
mixed-doubles	lūdus mixtus bis bīnōrum -ī, m.
moccasin	calceus laxus -ī, m.
moccasin-snake	natrix -icis, f.
artists-model	sessor pictōris -ōris, m.
molecular-biology	biologia moleculāris -ae, f.
molecule	moleculua -ae, f.
mollusk	testa -ae, f.
money-belt	zōna (pecūniāria) -ae, f.
mongrel	hybrida -ae, f.
monograph	scrīptum dē ūno capite -ī, n.
moonlight	lūmen lūnae -inis, n.
moons-of-jupiter	planētae circumioviales -ārum, m.
moonshine	tēmētum illicitum -ī, n.
mosaic	opus musīvum (v. tessellātum v. musaicum) -eris, n.
mosque	meschīta -ae, f.
mosquito	culex -icis, m.
moth	tinea -ae, f.
motorboat	automatārium nāvigium -ī, n.
mountain-climbing-rope	fūnis ascensōrius -is, m.
mucous-membrane	membrāna pituitāria -ae, f.
muezzin	muazinus -ī, m.
muff	chirothēca bipatēns -ae, f.
mufti	mufti indeclinable
mural-painting	pictūra parietalis ae, f.
muscatel	vīnum apiānum -ī, n.
muscle	nervus -ī, m.
museum	mūsēum -ī, n.
muslim-subst	Mahometanus -ī, m.
mussel	conchylium -ī, n.
mustang	equiferus -ī, m.
muzzle	rōstrum -ī, n.
nadir	pūnctum īmum -ī, n.
nasal-septum	imbrex nārium -icis, f.
navigation	disciplīna nāvālis -ae, f.
necklace	mūrenula -ae, f.
nervous-system	nervi -ōrum, m.
niche	aedicula -ae, f.
nightingale	luscinia -ae, f.
nominee	candidātus -ī, m.
north-star	sepentrio -ōnis, m.
nozzle	forāmen -inis, n.
nucleus-of-cell	nūcleus cellulāris -ī, m.
observatory	specula astronomica -ae, f.
officialsubst	officialis administrativus (v. administrationis) -is, m.
oil-paint	pigmentum oleō mixtum -ī, n.
oil-painting	pictūra oleāria -ae, f.
oil-tanker	nāvis oleāria -is, f.
optic-nerve	nervus opticus -ī, m.
orangutan	pongo -onis, m.
orbit	orbita -ae, f.
organ	membrum -ī, n.
oriole	chlorion -ōnis, m.
ornithology	ornithologia -ae, f.
ostrich	struth(i)ocamelus -ī, m.
outer-space	spatium cosmicum -ī, n.
outline-sketch	sciagraphia -ae, f.
ovary	ovārium -ī, n.
pack-of-dogs	turba canum -ae, f.
packet-boat	nāvis tabellāria -is, f.
paddle	rēmus bipalis -ī, m.
paddleboat	linter bipalis -is, f.
page-proof	plagula -ae, f.
pagination	pāginārum numerātio -ōnis, f.
paintbrush	penicillus -ī, m.
painting	tabula (v. tabella) picta -ae, f.
palette	orbis pictōrius -is, m.
palfrey	asturco -ōnis, m.
palm	palmus -ī, m.
pancreas	pancreas -atis, n.
panel	tympanum -ī, n.
paneling	contabulātio -ōnis, f.
papier-mache	mācerāta charta -ae, f.
papyrus-book	cōdex papyraceus -icis, m.
parachute	umbella dēscēnsoria -ae, f.
parapet	crepīdō -īdinis, f.
parchment-book	cōdex membrānaceus -icis, m.
parrot	psittacus -ī, m.
parthenogenesis	parthenogensis -is, f.
partition	pariēs intergerius (v. medius) -ētis, m.
partridge	perdix -īcis, m./f.
pass-football	pilae transmissio -ōnis, f.
passenger-ship	nāvis epibatica -is, f.
pastel	xerochrōma -atis, n.
pavillion	pāpiliō -ōnis, m.
peacock	pāvō -ōnis, m.
pearl	margarīta -ae, f.
pedal-boat	scapha pedalicia -ae, f.
pelican	onocrotalus -ī, m.
pelvis	pelvis -is, f.
penalty-kick	iactus poenālis -ūs, m.
pendant	ōrnāmentum pēnsile -ī, n.
penguin	aptenodtyes -um, m.
penis	pēnis -is, m.
penthouse	appendicium -ī, n.
pepsin	pepsīnum -ī, n.
periscope	periscopium -ī, n.
perspective	perspectīva -ae, f.
pest	animal nocivum -ālis, n.
pesticide	(venēnum) pesticidale -is, n.
pet	animal domesticum (v. pecusculum familiāre) -ālis, n.
pharynx	faucēs -ium, f.
phase-of-the-moon	phāsis lūnae -idis, m.
pheasant	phasianus -ī, m.
photographic-reprint	ēditiō phototypica (v. photomechanica) -ōnis, f.
physique-build	corporis figūra -ae, f.
picture-book	liber imāginibus ōrnātus -ī, m.
pigeon-carrier	columba internūntia -ae, f.
piggy-bank	thēca nummāria -ae, f.
pigmentation	color -ōris, m.
pilot	rēctor -ōris, m.
pilsner	cervesia Pilonica -ae, f.
pimple	fūrunculus -ī, m.
pin	acus ōrnātiva -ūs, f.
ping-pong	lūdus pilae mēnsālis -ī, m.
pirated-edition-reprinting	recūsio fūrtīve -ōnis, f.
pitcher-thrower	missor -ōris, m.
planet	stēlla errāns (v. vaga) -ae, f.
plastering-roughcast	dīrectio -ōnis, f.
plastic-bag	sacculus (plasticus) -ī, m.
platform	rōstrum -ī, n.
playing-field	campus (lūsōrius v. gymnasticus) -ī, m.
polecat	fēles -is, f.
pollen	pollen -inis, n.
pollination	pollinātio -ōnis, f.
polo	alsulegia equestris -ae, f.
pontoon	hydroplāni cymbula -ae, f.
poodle	canis villōsus -is, m.
porcupine	ēricius -ī, m.
pore	(cutis) fistula -ae, f.
porpoise	tursio -ōnis, m.
port	vīnum Portucalense -ī, n.
portfolio	scrīnium -ī, n.
porthole	fenestra nāvis -ae, f.
portrait-painter	anthropographus -ī, m.
pound	saeptum -ī, n.
prefabricated	praestrūctus -ī, m.
premier	prīnceps -ipis, m.
presidency	praesidatus -ūs, m.
president	praeses -idis, m.
president-elect	praeses designātus -idis, m.
press-media	rēs pressōria -ēī, f.
primeminister	minister primarius -ī, m.
print	litterae impressae -ārum, f.
printer	typographus -ī, m.
printing	typographia -ae, f.
press-print	apparātus ad imprimendum -ūs, m.
printshop	officīna typographica -ae, f.
prizefight	pugilātus -ūs, m.
prizefighter	pugil mercēnārius -ilis, m.
proofreader	corrēctor scriptōrum -ōris, m.
proofreading	corrēctiō scriptōrum -ōnis, f.
propeller	helica -ae, f.
prostate-gland	prostata -ae, f.
protozoan	protozōon -ontis, n.
pubic-hair	pecten -inis, m.
publisher	domus (v. societās) ēditōria -ūs, f.
pug	(canis) fricātor -oris, m.
pullet	pullastra -ae, f.
pump	soccus -ī, m.
punt	ictus follis ex pede -ūs, m.
pupil	pūpula -ae, f.
purse	pērula manuāria -ae, f.
pylon	porta crassa -ae, f.
python	serpēns immānis -entis, f.
quadruped	quadrupēs -edis, m./f.
quail	coturnix -īcis, f.
quarterdeck	puppis superior -is, f.
quoit	discus -ī, m.
quotation	prōlātiō -ōnis, f.
rabbit-hutch	claperium cunīculorum -ī, n.
race-contest	cursus -ūs, m.
race-track	curriculum -ī, n.
racehorse	celēs -etis, m.
radiator	radiator -ōris, m.
radiocarbon-dating	computātio (aetātis) radiocarbonica -ōnis, f.
radiotelescope	radiotelescopium -ī, n.
raft	ratis -is, f.
rafter	trabs -is, f.
ranch	fundus pecuārius -ī, m.
rancher	pecuārius -ī, m.
rat	rattus -ī, m.
rattrap	mūscipula -ae, f.
rattlensake	serpēns crotalus horridus -entis, f.
raven	corvus -ī, m.
reaper	māchina messoria -ae, f.
recess-niche	recessus -ūs, m.
record	prīmātus -ūs, m.
reference	relātio -ōnis, f.
reference-books	librī citātī -ōrum, m.
regatta	certāmen cursūs vēlificī -inis, n.
reindeer	tarandrus -ī, m.
relay-race	cursus pūblicī -ūs, m.
reprint-noun	opus recusum -eris, n.
reproduction	prōcreātio -ōnis, f.
reproductive-organs	organa generātiōnī īnserviēntia -ōrum, n.
reptile	repēns animal -ālis, n.
respiratory-tract	spīrāndi meātus -ūs, m.
retina	(tunica) retīna -ae, f.
review	cēnsūra -ae, f.
rhinoceros	rhinoceros -otis, m.
ribbon	īnstita -ae, f.
ring-finger	digitus ānulāris -ī, m.
ripcord	restis tractilis -is, f.
robin	rubecula -ae, f.
rock-climber	rūpium ascencor -ōris, m.
rocket	missile -is, n.
rodent	rōdēns -entis, m./f.
roller-skater	patinātor rotālīs -ōris, m.
roller-skating	patinātio rotālīs -ōnis, f.
rook	cornix -īcis, f.
rotunda	tholus -ī, m.
roundworm	ascaris -idis, f.
rowboat	nāvicula scalmōrum -ae, f.
rower	rēmex -igis, m.
rowing	athletismus rēmigatōrius -ī, m.
rubber-dinghy-life-raft	cummea scapha -ae, f.
rudder	gubernāculum -ī, n.
rugby	follis ovātī lūdus -ī, m.
rum	rhōmium -ī, n.
runway	(avi) aditus aërodromī -ūs, m.
sable	mūs silvestris -ris, m.
safe	arca nummāria (lōrīcata) -ae, f.
sail-noun	vēlum -ī, n.
sailboat	scapha (v. cumba) vēlifera -ae, f.
sailing	nāvigātio -ōnis, f.
sailing-ship	nāvis vēlivola -is, f.
saint-bernard	canis Bernardinus (v. Poenius) -is, m.
salamander	salamandra -ae, f.
sandal	crepida -ae, f.
sangria	pōtiō mixta Hispanica -ōnis, f.
sash	cancelli -ōrum, m.
satellite	stēlla minor -ae, f.
savings-account	pecūnia comparsa -ae, f.
savings-bank	prōvehendae parsimōniae argentāria -ae, f.
scalp	cutis capitis -is, f.
scarecrow	homō faeneus -inis, m.
scarfmuffler	amictorium -i, n.
schnapps	aqua vītae (v. ardēns) -ae, f.
schnapps-kirschwasser	aqua cerasina -ae, f.
schooner	āctuārium nāvigium -ī, n.
scotch	vischium Scoticum -ī, n.
scuba	scaphandra automata -ae, f.
sculptor	sculptor -ōris, m.
sculpture-statue	opus (in)sculptum -eris, n.
sea-gull	larus -ī, m.
hippocampus	hippocampus -ī, m.
sea-horse	hippocampus -ī, m.
sea-plane	hydroplānum -ī, n.
seal	vitula marīna -ae, f.
seasickness	nausea -ae, f.
second-half	tempus secundum (v. alterum) -oris, n.
secretary-general	scrība primarius -ae, m.
serpent	anguis -is, m./f.
serum	serum -ī, n.
serve-in-tennis	dēiectus -ūs, m.
server-in-ball-game	missor -ōris, m.
setter-dog	canis vēnāticus (v. canis consistēns) -is, m.
shaft	scapus (truncus) -ī, m.
shank	crūs -ūris, n.
sharecropper	colōnus -ī, m.
shark	pristis -is, f.
shawl	anaboladium -ī, n.
shelter	subgrunda -ae, f.
shelter-refuge	(alpicum) dēversōriolum -ī, n.
sheepdog	canis pāstōrālis (v. pecuārius) -is, m.
sherry	vīnum Astense Hispanicum -ī, n.
shin	tībia -ae, f.
shinbone	tībia -ae, f.
shingle	tēgula -ae, f.
ship-owner	dominus nāvis -ī, m.
ships-mate	operārius nauticus -ī, m.
ship-building	architectūra nāvālis -ae, f.
shipwreck	nāvis fracta -is, f.
shipyard	nāvālia -ae, f.
shoe	calceus -ī, m.
shoepolish	unguen calceorum -inis, n.
shoemaker	sūtor cerdo -oris, n.
shoerepairer	sūtor cerdo -ōris, m.
bootblack	calceorum polītor (v. mundator v. expurgātor) -ōris, m.
shoehorn	inductōrium -ī, n.
shoelace	corrīgia calceāmentī -ae, f.
shoestore	(taberna) sūtrīna -ae, f.
shooting-star	acontiae -ārum, m.
shoulder	umerus -ī, m.
shuttlecock	pennāta pila -ae, f.
sideline	linea laterālis -ae, f.
silo	sīrus -ī, m.
singles-tennis	lūdus singulāris -ī, m.
skate-ice	ferrāta solea -ae, f.
roller-skate	pedirota -ae, f.
rink	harēna lūbrica (v. gelida) -ae, f.
skeleton	ossa -ōrum, n.
sketch-noun	lineāmenta -ōrum, n.
ski-noun	narta -ae, f.
ski-jacket	iacca nartātōria -ae, f.
ski-jump	suggestus dēsultōrius -ūs, m.
ski-lift	anabathrum nartātōrium -ī, n.
ski-lodge	casa nartātōrum -ae, f.
ski-slope	curriculum (v. iter) narticum -ī, n.
skier	nartātor -ōris, m.
skiff	scapha -ae, f.
skiing	nartātiō -ōnis, f.
skiing-equipment	(ap)parātus nartātōrius -ūs, m.
skull	cranium -ī, n.
skunk	mephītis -is, f.
skyscraper	domus multōrum tabulātōrum -ūs, f.
slalom	dēcursio flexuōsa -ōnis, f.
slipper	ūdo -ōnis, m.
sloop	lembus -ī, m.
sloth	bradypus -podis, f.
slug	līmax -ācis, f.
sluice	obiectāculum -ī, n.
small-book-pocket-book	libellus -ī, m.
snail	cochlea -ae, f.
escargot	helix pōmātia -icis, f.
snake-bite	morsus vīperae -ūs, m.
sneaker	calceus gymnicus -ī, m.
snorkel	tuba spīrāndi -ae, f.
soccer	pedilūdium -ī, n.
soccer-ball	pedifollis -is, m.
soccer-field	campus pedifoliī -ī, m.
soccer-game	pedifollium -ī, n.
soccer-player	lūsor pedifollis -ōris, m.
society-for-prevention-of-animal-cruelty	societās animālibus tutandis -ātis, f.
soft-palate	vēlum -ī, n.
solar-plexus	plexus sōlāris -ūs, m.
solar-system	ōrdō sōlaris -inis, m.
sole	planta -ae, f.
somersault	saltus cernui -ūs, m.
space-age	aetās cosmica ātis, f.
space-shuttle	spatiāle vehiculum reciprocum -ī, n.
spaniel	canis avicularius -is, m.
sparkling-wine	vīnum spūmāns -ī, n.
sparrow	passer -eris, m.
sparrow-hawk	falco nīsus -ōnis, m.
speedboat	nāvis vēlox -is, f.
sperm-cell	spermatozoīdum -ī, n.
spermaceti	cetaceum -ī, n.
spider	arānea -ae, f.
spinal-column	spīna dorsī -ae, f.
spleen	liēn -ēnis, m.
sponge	spongi(ol)a -ae, f.
springboard	petaurum -ī, n.
sprint	breve curriculum -ī, n.
squirrel	sciurus -ī, m.
stag	cervus -ī, m.
stained	vitrum tīnctum -ī, n.
stained-glass	abaculus -ī, m.
art-of-making-stained-glass	pictūra encaustica -ae, f.
stained-glass-artist	vitripictor -ōris, m.
stair	gradus -ūs, m.
staircase	scālae -ārum, f.
stall	stabulum -ī, n.
stamen	caulis sēmina ferēns -is, m.
stampede	ēruptiō (orfuga) animālium -ōnis, f.
starboard	dextrum (nāvigiī) latus -eris, n.
starling	sturnus -ī, m.
steamboat	pyroscapha -ae, f.
steel-engraving	chalybographia -ae, f.
steerage	vīscera nāvis -um, n.
still	fornācula (v. clibanus) stillaticia -ae, f.
stilts	grallae -ārum, f.
stingray	pastinaca -ae, f.
stomach	stomachus -ī, m.
stool	faex -is, f.
stork	cicōnia -ae, f.
stove	fornāx -ācis, f.
stowaway	vector clandestīnus -ōris, m.
strand-beach	litus -oris, n.
straw	strāmentum -ī, n.
strawhat	pīleus strāmineus -ī, m.
stucco	tēctōrium -ī, n.
sturgeon	acipēnser -eris, m.
style	strūctūrae (artisque) genus -eris, n.
submarine	nāvis subaquānea -is, f.
suitcase	riscus -ī, m.
sultan	sultānus -ī, m.
sunbath	aprīcātiō -ōnis, f.
sunburn-verb	erythēma sōlare -ae, f.
sunscreen	cerōma solare -ae, f.
sunspot	macula sōlis -ae, f.
suntan-oil	oleum sōlare -ī, n.
supersonic-speed	vēlōcitās supersonica -ātis, f.
sura	sura -ae, f.
surfboard-for-wind-surfing	tabula vēlifera -ae, f.
surfing	prōlapsio super undas -ōnis, f.
swallow	hirundō -inis, f.
swim-meet	certāmen natātōrium -inis, n.
swimming	natātio -ōnis, f.
swimming-pool	balneum pūblicum (subdiāle) -ī, n.
swordfish	helops gladius (v. xiphus) -opis, m.
synopsis	sūcus -ī, m.
table-of-contents	index (rērum v. contentōrum) -icis, m./f.
table-wine	vīnum cibarium -ī, n.
tack	antenna -ae, f.
tadpole	gyrīnus -ī, m.
taikwondo	lucta Coreana (v. Thequondoīca) -ae, f.
tamer	domitor ferarum -ōris, m.
tanned-skin	adustus color -ōris, n.
tapestry	tapēte -is, n.
tapeworm	taenia -ae, f.
tarantula	tarantula -ae, f.
target-shooting	iaculātio ad mētam -ōnis, f.
team-captain	ductor manipulī (lūdicrī) -ōris, m.
teetotaler	homō abstinēns (tēmētō) -inis, m.
teller-cashier	arcārius -ī, m.
tendon	nervus -ī, m.
tennis	manūbriātī rēticulī lūdus -ī, m.
tennis-ball	pila tenisiae -ae, f.
tennis-court	teniludiī campus -ī, m.
tennis-player	tenilūdius -ī, m.
tennis-racket	rēticulātus -ī, m.
tennis-tournament	certāmen tenisiae -inis, n.
tent	tentōrium -ī, n.
tentacle	cornū -ūs, n.
terrier	terrarius -ī, m.
theory-of-evolution	theōria evolutiōnis -ae, f.
thoroughbred	genuīnus -ī, m.
thyroid-gland	glandula thyreoīdea -ae, f.
tick	ricinus -ī, m.
tie	fōcāle -is, n.
tiepin	spīnula -ae, f.
tiger	tigris -is, m./f.
tile	tēgula -ae, f.
time-deposit	pecūnia in tempus data -ae, f.
time-out	dīlūdium -ī, n.
tip-of-the-tongue	prīma lingua -ae, f.
animal-template	LATIN_TRANSLATION_HERE GRAMMAR_HERE
arch-template	LATIN_TRANSLATION_HERE GRAMMAR_HERE
art-template	LATIN_TRANSLATION_HERE GRAMMAR_HERE
bag-template	LATIN_TRANSLATION_HERE GRAMMAR_HERE
ball-template	LATIN_TRANSLATION_HERE GRAMMAR_HERE
biology-template	LATIN_TRANSLATION_HERE GRAMMAR_HERE
title	titulus -ī, m.
title-page	index (librī) -icis, m./f.
titmouse	misinga -ae, f.
toad	būfō -ōnis, m.
toast	tosta -ae, f.
toastmaster	magister bibendi -ī, m.
tobogganing	sclodiae (v. stludionis) dēcursus -ūs, m.
toe	digitus -ī, m.
tome	magnus liber -ī, m.
tonnage	amphorātum -ī, n.
tonsils	tonsillae -ārum, f.
tophat	petasus altus -ī, m.
topsail	siparum -ī, m.
tortoise	testūdō terrestris -inis, f.
tour-de-france	Circuitio Birotālis Gallica -ōnis, f.
towpath	sēmita nautārum -ae, f.
trainer-coach	exercitor -ōris, m.
trampoline	dēsultorium -ī, n.
transplantation	trānslatio -ōnis, f.
trap-door	iānua dēcidua (v. cadūca) -ae, f.
treasury	aerārium (pūblicum) -ī, n.
treatise	commentātiō -ōnis, f.
tree-frog	calamītes -ae, f.
trot-noun	gradus citātus -ūs, m.
trout	tructa -ae, f.
trunk	manus nāsūta -ūs, f.
tug	remulcum -ī, n.
tugboat	scapha tractōria -ae, f.
turban	tiāra -ae, f.
turbulence	agitātiō -ōnis, f.
turkey	gallopāvo -ōnis, m.
turnstile	repāgulum -ī, n.
turtledove	turtur -uris, m.
tusk	dēns -entis, m.
type	typī -ōrum, m.
typesetter	compositor -ōris, m.
typo-in-printed-book	typothetae mendum -ī, n.
typographer	typographus ī, m.
typography	typographica ars -is, f.
ultraviolet-rays	radiī ultraviolacei -ōrum, m.
umbilical-cord	nervus umbilīcāris -ī, m.
underarm-hair	pili subālārēs -ōrum, m.
underarm-odor	ālārum sūdor -ōris, m.
unpublished-book	nōndum vulgātus -ī, m.
upper-jaw	maxilla superior -ae, f.
urea	urea -ae, f.
uvula	ūva -ae, f.
valve	spīrāmentum -ī, n.
variety-of-plant	cultivarietas -ātis, f.
vein	vēna -ae, f.
ventilation	ventilātio -ōnis, f.
ventilator	ventilābrum -ī, n.
ventricle	cordis ventriculus -ī, m.
vermillion	minium -ī, n.
vermouth	apsinthiātum -ī, n.
vertebra	vertēbra -ae, f.
vertebrate	animal vertēbrātum -ī, n.
vice-chancellor	procancellarius -ī, m.
vice-president	prōpraeses -idis, m.
vignette	emblēma -atis, n.
visor	ocularium -ī, n.
vivisection	vīvōrum sectio -ōnis, f.
vizir	vasīrus -ī, m.
vocal-chords	chordae vōcāles -ārum, f.
vodka	valida pōtiō Slavica -ōnis, f.
volleyball	follis volāticus -is, m.
volume	volūmen -inis, n.
vulture	vultur -uris, m.
wainscoting	abacī -ōrum, m.
waist	medium corpus -oris, n.
waistline	zōna -ae, f.
waiting-room	oecus profectiōnem praestōlāntium -ī, m.
walking-on-stilts	incessus grallatōrius -ūs, m.
wallet-billfold	bulgula -ae, f.
walls-half-timbered	parietes craticiī -um, m.
walrus	odobenus -ī, m.
warehouse	apothēca -ae, f.
warship	nāvis longa -is, f.
wart	verrūca -ae, f.
wasp	vespa -ae, f.
watch-dog	canis vigilāns (v. vigilax) -is, m.
water-polo	lūdus follis aquātilis -ī, m.
water-ski	narta aquātilis (v. aquātica) -ae, f.
watercolor	pictūra aquāria -ae, f.
weasel	mustēla -ae, f.
weed-killer	(venēnum) herbicidale -is, n.
weeds-pullingup	zizaniorum ēvulsio -onis, f.
weevil	curculiō -ōnis, m.
weissbier	zythus pallidum -ī, m.
whale	bālaena -ae, f.
whaler	piscātor bālaenarum -ōris, m.
whisker	saeta (vibrissa) -ae, f.
whisky	vischium -ī, n.
whistle	fistula signālis -ae, f.
wicket	portula -ae, f.
wildcat	lynx -yncis, m./f.
wind-surfer	vēlitabulātor -ōris, m.
window	portula -ae, f.
windpipe	artēria aspera -ae, f.
wine-press	torculum -ī, n.
wine-spritzer	vīnum aquatum (v. dilūtum) -ī, n.
wine-store	taberna vīnāria -ae, f.
wine-dry	vīnum austerum (v. asperum) -ī, n.
wine-fruit	vīnum pōmarium -ī, n.
wine-mulled	cal(i)dum -ī, n.
wine-new	vīnum hornotinum -ī, n.
wine-red	vīnum rubrum -ī, n.
wine-white	vīnum candidum -ī, n.
wolverine	gulo -ōnis, m.
womens-doubles	lūdus bis bīnārum mulierum -ī, m.
wood-golf	clāva lignea -ae, f.
woodcock	scolōpax -acis, f.
woodcut	imāgō xylographica -inis, f.
woodcutter	lignī sculptor -ōris, m.
woodenshoe	cūspus -ī, m.
woodpecker	pīcus -ī, m.
worldly	mundânus a um
worm	vermis -is, m.
wrestler	luctātor -ōris, m.
wrestling	luctātio -ōnis, f.
wrestling-match	luctāmen -inis, n.
wrist	prīma palmae pars -is, f.
writ-tissue-paper	papyrus fragilis -ī, f.
yacht	lembus (lūsōrius) -ī, m.
yard	antenna -ae, f.
zebra	zebra -ae, f.
zenith	verticale pūnctum -ī, n.
zodiac	orbis signifer -ī, m.
zoology	zōologia -ae, f.
zygote	zygōta -ae, f.
